Campaign ID,Name,Status,Lead Count
cam_rBe5LsZDQKr2PEpNj,8.0_SmallCompanies_CTA-Exp._11/25,running,284
cam_mjKQGcEhDfaDeqBYw,4.5_SmallCompanies_GROCERY+DIY+BEAUTY_11/25 Copy,running,698
cam_Z99qBn3w47xXgbDXA,"1.0_""Menten""_Competitive-Outreach_11/25",running,145
cam_7EqdiSoLFXAeJcEwh,1.0_Xentral_Webinar_Outreach_11/25,running,17
cam_QezjfcT5FzLNRnu9j,7.2_Mid-Sized_COMPETITIVE-PITCH_DACH_09/25,running,333
cam_DvRexzJFq52uLQDjr,7.1_Mid-Sized_EDI-Annoying_DACH_09/25,running,319
cam_i4bNCz3WwZFk7Qhuj,4.3_SmallCompanies_SINGLE-OR-NORETAILER_08/25,running,915
cam_vTLEmvHcs5WEi4Yg8,4.4_Mid-Big_SINGLE-OR-NORETAILER_09/25,running,3261
